Date,Age,Account,MovementType,Amount,BalanceAfter,Remarks
2036-02-01,100000582,61,RA,Contribution,568.31,61147.15,"Monthly allocation"
2036-02-01,100000583,61,Loan,Payment,1817.49,18507.70,"Monthly loan payment"
2036-03-01,100000584,61,OA,Contribution,209.49,423276.07,"Monthly allocation"
2036-03-01,100000585,61,MA,Contribution,628.20,218122.45,"Monthly allocation"
2036-03-01,100000586,61,RA,Contribution,568.31,61715.45,"Monthly allocation"
2036-03-01,100000587,61,Loan,Payment,1817.49,16690.21,"Monthly loan payment"
2036-04-01,100000588,61,OA,Contribution,209.49,423485.56,"Monthly allocation"
2036-04-01,100000589,61,MA,Contribution,628.20,218750.65,"Monthly allocation"
2036-04-01,100000590,61,RA,Contribution,568.31,62283.76,"Monthly allocation"
2036-04-01,100000591,61,Loan,Payment,1817.49,14872.72,"Monthly loan payment"
2036-05-01,100000592,61,OA,Contribution,209.49,423695.06,"Monthly allocation"
2036-05-01,100000593,61,MA,Contribution,628.20,219378.85,"Monthly allocation"
2036-05-01,100000594,61,RA,Contribution,568.31,62852.06,"Monthly allocation"
2036-05-01,100000595,61,Loan,Payment,1817.49,13055.23,"Monthly loan payment"
2036-06-01,100000596,61,OA,Contribution,209.49,423904.55,"Monthly allocation"
2036-06-01,100000597,61,MA,Contribution,628.20,220007.05,"Monthly allocation"
2036-06-01,100000598,61,RA,Contribution,568.31,63420.37,"Monthly allocation"
2036-06-01,100000599,61,Loan,Payment,1817.49,11237.74,"Monthly loan payment"
2036-07-01,100000600,62,OA,Contribution,209.49,424114.04,"Monthly allocation"
2036-07-01,100000601,62,MA,Contribution,628.20,220635.25,"Monthly allocation"
2036-07-01,100000602,62,RA,Contribution,568.31,63988.67,"Monthly allocation"
2036-07-01,100000603,62,Loan,Payment,1817.49,9420.25,"Monthly loan payment"
2036-08-01,100000604,62,OA,Contribution,209.49,424323.54,"Monthly allocation"
2036-08-01,100000605,62,MA,Contribution,628.20,221263.45,"Monthly allocation"
2036-08-01,100000606,62,RA,Contribution,568.31,64556.98,"Monthly allocation"
2036-08-01,100000607,62,Loan,Payment,1817.49,7602.76,"Monthly loan payment"
2036-09-01,100000608,62,OA,Contribution,209.49,424533.03,"Monthly allocation"
2036-09-01,100000609,62,MA,Contribution,628.20,221891.65,"Monthly allocation"
2036-09-01,100000610,62,RA,Contribution,568.31,65125.28,"Monthly allocation"
2036-09-01,100000611,62,Loan,Payment,1817.49,5785.27,"Monthly loan payment"
2036-10-01,100000612,62,OA,Contribution,209.49,424742.53,"Monthly allocation"
2036-10-01,100000613,62,MA,Contribution,628.20,222519.85,"Monthly allocation"
2036-10-01,100000614,62,RA,Contribution,568.31,65693.59,"Monthly allocation"
2036-10-01,100000615,62,Loan,Payment,1817.49,3967.78,"Monthly loan payment"
2036-11-01,100000616,62,OA,Contribution,209.49,424952.02,"Monthly allocation"
2036-11-01,100000617,62,MA,Contribution,628.20,223148.05,"Monthly allocation"
2036-11-01,100000618,62,RA,Contribution,568.31,66261.89,"Monthly allocation"
2036-11-01,100000619,62,Loan,Payment,1817.49,2150.29,"Monthly loan payment"
2036-12-01,100000620,62,OA,Contribution,209.49,425161.51,"Monthly allocation"
2036-12-01,100000621,62,MA,Contribution,628.20,223776.25,"Monthly allocation"
2036-12-01,100000622,62,RA,Contribution,568.31,66830.20,"Monthly allocation"
2036-12-01,100000623,62,OA,Interest,17006.46,442167.97,"Annual base interest"
2036-12-01,100000624,62,MA,Interest,8951.05,232727.31,"Annual base interest"
2036-12-01,100000625,62,RA,Interest,2673.21,69503.41,"Annual base + extra interest"
2036-12-01,100000626,62,RA,Extra Interest,900.00,70403.41,"Annual base + extra interest"
2036-12-01,100000627,62,Loan,Payment,1817.49,332.80,"Monthly loan payment"
2037-01-01,100000628,62,OA,Contribution,209.49,442377.47,"Monthly allocation"
2037-01-01,100000629,62,MA,Contribution,628.20,233355.51,"Monthly allocation"
2037-01-01,100000630,62,RA,Contribution,568.31,70971.71,"Monthly allocation"
2037-01-01,100000631,62,Loan,Payment,332.80,0.00,"Final loan payment"
2037-02-01,100000632,62,OA,Contribution,209.49,442586.96,"Monthly allocation"
2037-02-01,100000633,62,MA,Contribution,628.20,233983.71,"Monthly allocation"
2037-02-01,100000634,62,RA,Contribution,568.31,71540.02,"Monthly allocation"
2037-03-01,100000635,62,OA,Contribution,209.49,442796.46,"Monthly allocation"
2037-03-01,100000636,62,MA,Contribution,628.20,234611.91,"Monthly allocation"
2037-03-01,100000637,62,RA,Contribution,568.31,72108.32,"Monthly allocation"
2037-04-01,100000638,62,OA,Contribution,209.49,443005.95,"Monthly allocation"
2037-04-01,100000639,62,MA,Contribution,628.20,235240.11,"Monthly allocation"
2037-04-01,100000640,62,RA,Contribution,568.31,72676.63,"Monthly allocation"
2037-05-01,100000641,62,OA,Contribution,209.49,443215.44,"Monthly allocation"
2037-05-01,100000642,62,MA,Contribution,628.20,235868.31,"Monthly allocation"
2037-05-01,100000643,62,RA,Contribution,568.31,73244.93,"Monthly allocation"
2037-06-01,100000644,62,OA,Contribution,209.49,443424.94,"Monthly allocation"
2037-06-01,100000645,62,MA,Contribution,628.20,236496.51,"Monthly allocation"
2037-06-01,100000646,62,RA,Contribution,568.31,73813.24,"Monthly allocation"
2037-07-01,100000647,63,OA,Contribution,209.49,443634.43,"Monthly allocation"
2037-07-01,100000648,63,MA,Contribution,628.20,237124.71,"Monthly allocation"
2037-07-01,100000649,63,RA,Contribution,568.31,74381.54,"Monthly allocation"
2037-08-01,100000650,63,OA,Contribution,209.49,443843.93,"Monthly allocation"
2037-08-01,100000651,63,MA,Contribution,628.20,237752.91,"Monthly allocation"
2037-08-01,100000652,63,RA,Contribution,568.31,74949.85,"Monthly allocation"
2037-09-01,100000653,63,OA,Contribution,209.49,444053.42,"Monthly allocation"
2037-09-01,100000654,63,MA,Contribution,628.20,238381.11,"Monthly allocation"
2037-09-01,100000655,63,RA,Contribution,568.31,75518.15,"Monthly allocation"
2037-10-01,100000656,63,OA,Contribution,209.49,444262.91,"Monthly allocation"
2037-10-01,100000657,63,MA,Contribution,628.20,239009.31,"Monthly allocation"
2037-10-01,100000658,63,RA,Contribution,568.31,76086.46,"Monthly allocation"
2037-11-01,100000659,63,OA,Contribution,209.49,444472.41,"Monthly allocation"
2037-11-01,100000660,63,MA,Contribution,628.20,239637.51,"Monthly allocation"
2037-11-01,100000661,63,RA,Contribution,568.31,76654.76,"Monthly allocation"
2037-12-01,100000662,63,OA,Contribution,209.49,444681.90,"Monthly allocation"
2037-12-01,100000663,63,MA,Contribution,628.20,240265.71,"Monthly allocation"
2037-12-01,100000664,63,RA,Contribution,568.31,77223.07,"Monthly allocation"
2037-12-01,100000665,63,OA,Interest,17787.28,462469.18,"Annual base interest"
2037-12-01,100000666,63,MA,Interest,9610.63,249876.34,"Annual base interest"
2037-12-01,100000667,63,RA,Interest,3088.92,80311.99,"Annual base + extra interest"
2037-12-01,100000668,63,RA,Extra Interest,900.00,81211.99,"Annual base + extra interest"
2038-01-01,100000669,63,OA,Contribution,209.49,462678.67,"Monthly allocation"
2038-01-01,100000670,63,MA,Contribution,628.20,250504.54,"Monthly allocation"
2038-01-01,100000671,63,RA,Contribution,568.31,81780.30,"Monthly allocation"
2038-02-01,100000672,63,OA,Contribution,209.49,462888.17,"Monthly allocation"
2038-02-01,100000673,63,MA,Contribution,628.20,251132.74,"Monthly allocation"
2038-02-01,100000674,63,RA,Contribution,568.31,82348.60,"Monthly allocation"
2038-03-01,100000675,63,OA,Contribution,209.49,463097.66,"Monthly allocation"
2038-03-01,100000676,63,MA,Contribution,628.20,251760.95,"Monthly allocation"
2038-03-01,100000677,63,RA,Contribution,568.31,82916.91,"Monthly allocation"
2038-04-01,100000678,63,OA,Contribution,209.49,463307.15,"Monthly allocation"
2038-04-01,100000679,63,MA,Contribution,628.20,252389.15,"Monthly allocation"
2038-04-01,100000680,63,RA,Contribution,568.31,83485.21,"Monthly allocation"
2038-05-01,100000681,63,OA,Contribution,209.49,463516.65,"Monthly allocation"
2038-05-01,100000682,63,MA,Contribution,628.20,253017.35,"Monthly allocation"
2038-05-01,100000683,63,RA,Contribution,568.31,84053.52,"Monthly allocation"
2038-06-01,100000684,63,OA,Contribution,209.49,463726.14,"Monthly allocation"
2038-06-01,100000685,63,MA,Contribution,628.20,253645.55,"Monthly allocation"
2038-06-01,100000686,63,RA,Contribution,568.31,84621.82,"Monthly allocation"
2038-07-01,100000687,64,OA,Contribution,209.49,463935.64,"Monthly allocation"
2038-07-01,100000688,64,MA,Contribution,628.20,254273.75,"Monthly allocation"
2038-07-01,100000689,64,RA,Contribution,568.31,85190.13,"Monthly allocation"
2038-08-01,100000690,64,OA,Contribution,209.49,464145.13,"Monthly allocation"
2038-08-01,100000691,64,MA,Contribution,628.20,254901.95,"Monthly allocation"
2038-08-01,100000692,64,RA,Contribution,568.31,85758.43,"Monthly allocation"
2038-09-01,100000693,64,OA,Contribution,209.49,464354.62,"Monthly allocation"
2038-09-01,100000694,64,MA,Contribution,628.20,255530.15,"Monthly allocation"
2038-09-01,100000695,64,RA,Contribution,568.31,86326.74,"Monthly allocation"
2038-10-01,100000696,64,OA,Contribution,209.49,464564.12,"Monthly allocation"
2038-10-01,100000697,64,MA,Contribution,628.20,256158.35,"Monthly allocation"
2038-10-01,100000698,64,RA,Contribution,568.31,86895.04,"Monthly allocation"
2038-11-01,100000699,64,OA,Contribution,209.49,464773.61,"Monthly allocation"
2038-11-01,100000700,64,MA,Contribution,628.20,256786.55,"Monthly allocation"
2038-11-01,100000701,64,RA,Contribution,568.31,87463.35,"Monthly allocation"
2038-12-01,100000702,64,OA,Contribution,209.49,464983.11,"Monthly allocation"
2038-12-01,100000703,64,MA,Contribution,628.20,257414.75,"Monthly allocation"
2038-12-01,100000704,64,RA,Contribution,568.31,88031.66,"Monthly allocation"
2038-12-01,100000705,64,OA,Interest,18599.32,483582.43,"Annual base interest"
2038-12-01,100000706,64,MA,Interest,10296.59,267711.34,"Annual base interest"
2038-12-01,100000707,64,RA,Interest,3521.27,91552.92,"Annual base + extra interest"
2038-12-01,100000708,64,RA,Extra Interest,900.00,92452.92,"Annual base + extra interest"
2039-01-01,100000709,64,OA,Contribution,209.49,483791.92,"Monthly allocation"
2039-01-01,100000710,64,MA,Contribution,628.20,268339.54,"Monthly allocation"
2039-01-01,100000711,64,RA,Contribution,568.31,93021.23,"Monthly allocation"
2039-02-01,100000712,64,OA,Contribution,209.49,484001.42,"Monthly allocation"
2039-02-01,100000713,64,MA,Contribution,628.20,268967.74,"Monthly allocation"
2039-02-01,100000714,64,RA,Contribution,568.31,93589.53,"Monthly allocation"
2039-03-01,100000715,64,OA,Contribution,209.49,484210.91,"Monthly allocation"
2039-03-01,100000716,64,MA,Contribution,628.20,269595.95,"Monthly allocation"
2039-03-01,100000717,64,RA,Contribution,568.31,94157.84,"Monthly allocation"
2039-04-01,100000718,64,OA,Contribution,209.49,484420.41,"Monthly allocation"
2039-04-01,100000719,64,MA,Contribution,628.20,270224.15,"Monthly allocation"
2039-04-01,100000720,64,RA,Contribution,568.31,94726.14,"Monthly allocation"
2039-05-01,100000721,64,OA,Contribution,209.49,484629.90,"Monthly allocation"
2039-05-01,100000722,64,MA,Contribution,628.20,270852.35,"Monthly allocation"
2039-05-01,100000723,64,RA,Contribution,568.31,95294.45,"Monthly allocation"
2039-06-01,100000724,64,OA,Contribution,209.49,484839.39,"Monthly allocation"
2039-06-01,100000725,64,MA,Contribution,628.20,271480.55,"Monthly allocation"
2039-06-01,100000726,64,RA,Contribution,568.31,95862.75,"Monthly allocation"
2039-07-01,100000727,65,OA,Contribution,71.87,484911.26,"Monthly allocation"
2039-07-01,100000728,65,MA,Contribution,753.38,272233.93,"Monthly allocation"
2039-07-01,100000729,65,RA,Contribution,358.75,96221.50,"Monthly allocation"
2039-08-01,100000730,65,OA,Contribution,71.87,484983.13,"Monthly allocation"
2039-08-01,100000731,65,MA,Contribution,753.38,272987.31,"Monthly allocation"
2039-08-01,100000732,65,RA,Contribution,358.75,96580.26,"Monthly allocation"
2039-09-01,100000733,65,OA,Contribution,71.87,485055.00,"Monthly allocation"
2039-09-01,100000734,65,MA,Contribution,753.38,273740.69,"Monthly allocation"
2039-09-01,100000735,65,RA,Contribution,358.75,96939.01,"Monthly allocation"
2039-10-01,100000736,65,OA,Contribution,71.87,485126.87,"Monthly allocation"
2039-10-01,100000737,65,MA,Contribution,753.38,274494.06,"Monthly allocation"
2039-10-01,100000738,65,RA,Contribution,358.75,97297.76,"Monthly allocation"
2039-11-01,100000739,65,OA,Contribution,71.87,485198.74,"Monthly allocation"
2039-11-01,100000740,65,MA,Contribution,753.38,275247.44,"Monthly allocation"
2039-11-01,100000741,65,RA,Contribution,358.75,97656.51,"Monthly allocation"
2039-12-01,100000742,65,OA,Contribution,71.87,485270.61,"Monthly allocation"
2039-12-01,100000743,65,MA,Contribution,753.38,276000.82,"Monthly allocation"
2039-12-01,100000744,65,RA,Contribution,358.75,98015.26,"Monthly allocation"
2039-12-01,100000745,65,OA,Interest,19410.82,504681.43,"Annual base interest"
2039-12-01,100000746,65,MA,Interest,11040.03,287040.86,"Annual base interest"
2039-12-01,100000747,65,RA,Interest,3920.61,101935.88,"Annual base + extra interest"
2039-12-01,100000748,65,RA,Extra Interest,900.00,102835.88,"Annual base + extra interest"
2040-01-01,100000749,65,OA,Contribution,71.87,504753.30,"Monthly allocation"
2040-01-01,100000750,65,MA,Contribution,753.38,287794.24,"Monthly allocation"
2040-01-01,100000751,65,RA,Contribution,358.75,103194.63,"Monthly allocation"
2040-02-01,100000752,65,OA,Contribution,71.87,504825.17,"Monthly allocation"
2040-02-01,100000753,65,MA,Contribution,753.38,288547.61,"Monthly allocation"
2040-02-01,100000754,65,RA,Contribution,358.75,103553.38,"Monthly allocation"
2040-03-01,100000755,65,OA,Contribution,71.87,504897.04,"Monthly allocation"
2040-03-01,100000756,65,MA,Contribution,753.38,289300.99,"Monthly allocation"
2040-03-01,100000757,65,RA,Contribution,358.75,103912.13,"Monthly allocation"
2040-04-01,100000758,65,OA,Contribution,71.87,504968.91,"Monthly allocation"
2040-04-01,100000759,65,MA,Contribution,753.38,290054.37,"Monthly allocation"
2040-04-01,100000760,65,RA,Contribution,358.75,104270.88,"Monthly allocation"
2040-05-01,100000761,65,OA,Contribution,71.87,505040.78,"Monthly allocation"
2040-05-01,100000762,65,MA,Contribution,753.38,290807.75,"Monthly allocation"
2040-05-01,100000763,65,RA,Contribution,358.75,104629.64,"Monthly allocation"
2040-06-01,100000764,65,OA,Contribution,71.87,505112.64,"Monthly allocation"
2040-06-01,100000765,65,MA,Contribution,753.38,291561.13,"Monthly allocation"
2040-06-01,100000766,65,RA,Contribution,358.75,104988.39,"Monthly allocation"
2040-07-01,100000767,66,OA,Contribution,71.87,505184.51,"Monthly allocation"
2040-07-01,100000768,66,MA,Contribution,753.38,292314.51,"Monthly allocation"
2040-07-01,100000769,66,RA,Contribution,358.75,105347.14,"Monthly allocation"
2040-08-01,100000770,66,OA,Contribution,71.87,505256.38,"Monthly allocation"
2040-08-01,100000771,66,MA,Contribution,753.38,293067.89,"Monthly allocation"
2040-08-01,100000772,66,RA,Contribution,358.75,105705.89,"Monthly allocation"
2040-09-01,100000773,66,OA,Contribution,71.87,505328.25,"Monthly allocation"
2040-09-01,100000774,66,MA,Contribution,753.38,293821.27,"Monthly allocation"
2040-09-01,100000775,66,RA,Contribution,358.75,106064.64,"Monthly allocation"
2040-10-01,100000776,66,OA,Contribution,71.87,505400.12,"Monthly allocation"
2040-10-01,100000777,66,MA,Contribution,753.38,294574.65,"Monthly allocation"
2040-10-01,100000778,66,RA,Contribution,358.75,106423.40,"Monthly allocation"
2040-11-01,100000779,66,OA,Contribution,71.87,505471.99,"Monthly allocation"
2040-11-01,100000780,66,MA,Contribution,753.38,295328.03,"Monthly allocation"
2040-11-01,100000781,66,RA,Contribution,358.75,106782.15,"Monthly allocation"
2040-12-01,100000782,66,OA,Contribution,71.87,505543.86,"Monthly allocation"
2040-12-01,100000783,66,MA,Contribution,753.38,296081.41,"Monthly allocation"
2040-12-01,100000784,66,RA,Contribution,358.75,107140.90,"Monthly allocation"
2040-12-01,100000785,66,OA,Interest,20221.75,525765.61,"Annual base interest"
2040-12-01,100000786,66,MA,Interest,11843.26,307924.66,"Annual base interest"
2040-12-01,100000787,66,RA,Interest,4285.64,111426.54,"Annual base + extra interest"
2040-12-01,100000788,66,RA,Extra Interest,900.00,112326.54,"Annual base + extra interest"
2041-01-01,100000789,66,OA,Contribution,71.87,525837.48,"Monthly allocation"
2041-01-01,100000790,66,MA,Contribution,753.38,308678.04,"Monthly allocation"
2041-01-01,100000791,66,RA,Contribution,358.75,112685.29,"Monthly allocation"
2041-02-01,100000792,66,OA,Contribution,71.87,525909.35,"Monthly allocation"
2041-02-01,100000793,66,MA,Contribution,753.38,309431.42,"Monthly allocation"
2041-02-01,100000794,66,RA,Contribution,358.75,113044.04,"Monthly allocation"
2041-03-01,100000795,66,OA,Contribution,71.87,525981.22,"Monthly allocation"
2041-03-01,100000796,66,MA,Contribution,753.38,310184.80,"Monthly allocation"
2041-03-01,100000797,66,RA,Contribution,358.75,113402.79,"Monthly allocation"
2041-04-01,100000798,66,OA,Contribution,71.87,526053.09,"Monthly allocation"
2041-04-01,100000799,66,MA,Contribution,753.38,310938.18,"Monthly allocation"
2041-04-01,100000800,66,RA,Contribution,358.75,113761.54,"Monthly allocation"
2041-05-01,100000801,66,OA,Contribution,71.87,526124.96,"Monthly allocation"
2041-05-01,100000802,66,MA,Contribution,753.38,311691.56,"Monthly allocation"
2041-05-01,100000803,66,RA,Contribution,358.75,114120.30,"Monthly allocation"
2041-06-01,100000804,66,OA,Contribution,71.87,526196.82,"Monthly allocation"
2041-06-01,100000805,66,MA,Contribution,753.38,312444.94,"Monthly allocation"
2041-06-01,100000806,66,RA,Contribution,358.75,114479.05,"Monthly allocation"
2041-07-01,100000807,67,OA,Contribution,71.87,526268.69,"Monthly allocation"
2041-07-01,100000808,67,MA,Contribution,753.38,313198.32,"Monthly allocation"
2041-07-01,100000809,67,RA,Contribution,358.75,114837.80,"Monthly allocation"
2041-07-01,100000810,67,RA,Payout,930.00,113907.80,"Monthly payout from RA"
2041-07-01,100000811,67,Excess,Payout In,930.00,930.00,"Monthly payout credited to excess"
2041-08-01,100000812,67,OA,Contribution,71.87,526340.56,"Monthly allocation"
2041-08-01,100000813,67,MA,Contribution,753.38,313951.70,"Monthly allocation"
2041-08-01,100000814,67,RA,Contribution,358.75,114266.55,"Monthly allocation"
2041-08-01,100000815,67,RA,Payout,930.00,113336.55,"Monthly payout from RA"
2041-08-01,100000816,67,Excess,Payout In,930.00,1860.00,"Monthly payout credited to excess"
2041-09-01,100000817,67,OA,Contribution,71.87,526412.43,"Monthly allocation"
2041-09-01,100000818,67,MA,Contribution,753.38,314705.08,"Monthly allocation"
2041-09-01,100000819,67,RA,Contribution,358.75,113695.30,"Monthly allocation"
2041-09-01,100000820,67,RA,Payout,930.00,112765.30,"Monthly payout from RA"
2041-09-01,100000821,67,Excess,Payout In,930.00,2790.00,"Monthly payout credited to excess"
2041-10-01,100000822,67,OA,Contribution,71.87,526484.30,"Monthly allocation"
2041-10-01,100000823,67,MA,Contribution,753.38,315458.45,"Monthly allocation"
2041-10-01,100000824,67,RA,Contribution,358.75,113124.06,"Monthly allocation"
2041-10-01,100000825,67,RA,Payout,930.00,112194.06,"Monthly payout from RA"
2041-10-01,100000826,67,Excess,Payout In,930.00,3720.00,"Monthly payout credited to excess"
2041-11-01,100000827,67,OA,Contribution,71.87,526556.17,"Monthly allocation"
2041-11-01,100000828,67,MA,Contribution,753.38,316211.83,"Monthly allocation"
2041-11-01,100000829,67,RA,Contribution,358.75,112552.81,"Monthly allocation"
2041-11-01,100000830,67,RA,Payout,930.00,111622.81,"Monthly payout from RA"
2041-11-01,100000831,67,Excess,Payout In,930.00,4650.00,"Monthly payout credited to excess"
2041-12-01,100000832,67,OA,Contribution,71.87,526628.04,"Monthly allocation"
2041-12-01,100000833,67,MA,Contribution,753.38,316965.21,"Monthly allocation"
2041-12-01,100000834,67,RA,Contribution,358.75,111981.56,"Monthly allocation"
2041-12-01,100000835,67,OA,Interest,21065.12,547693.16,"Annual base interest"
2041-12-01,100000836,67,MA,Interest,12678.61,329643.82,"Annual base interest"
2041-12-01,100000837,67,RA,Interest,4479.26,116460.82,"Annual base + extra interest"
2041-12-01,100000838,67,RA,Extra Interest,900.00,117360.82,"Annual base + extra interest"
2041-12-01,100000839,67,RA,Payout,930.00,116430.82,"Monthly payout from RA"
2041-12-01,100000840,67,Excess,Payout In,930.00,5580.00,"Monthly payout credited to excess"
2042-01-01,100000841,67,OA,Contribution,71.87,547765.03,"Monthly allocation"
2042-01-01,100000842,67,MA,Contribution,753.38,330397.20,"Monthly allocation"
2042-01-01,100000843,67,RA,Contribution,358.75,116789.57,"Monthly allocation"
2042-01-01,100000844,67,RA,Payout,930.00,115859.57,"Monthly payout from RA"
2042-01-01,100000845,67,Excess,Payout In,930.00,6510.00,"Monthly payout credited to excess"
2042-02-01,100000846,67,OA,Contribution,71.87,547836.90,"Monthly allocation"
2042-02-01,100000847,67,MA,Contribution,753.38,331150.58,"Monthly allocation"
2042-02-01,100000848,67,RA,Contribution,358.75,116218.33,"Monthly allocation"
2042-02-01,100000849,67,RA,Payout,930.00,115288.33,"Monthly payout from RA"
2042-02-01,100000850,67,Excess,Payout In,930.00,7440.00,"Monthly payout credited to excess"
2042-03-01,100000851,67,OA,Contribution,71.87,547908.76,"Monthly allocation"
2042-03-01,100000852,67,MA,Contribution,753.38,331903.96,"Monthly allocation"
2042-03-01,100000853,67,RA,Contribution,358.75,115647.08,"Monthly allocation"
2042-03-01,100000854,67,RA,Payout,930.00,114717.08,"Monthly payout from RA"
2042-03-01,100000855,67,Excess,Payout In,930.00,8370.00,"Monthly payout credited to excess"
2042-04-01,100000856,67,OA,Contribution,71.87,547980.63,"Monthly allocation"
2042-04-01,100000857,67,MA,Contribution,753.38,332657.34,"Monthly allocation"
2042-04-01,100000858,67,RA,Contribution,358.75,115075.83,"Monthly allocation"
2042-04-01,100000859,67,RA,Payout,930.00,114145.83,"Monthly payout from RA"
2042-04-01,100000860,67,Excess,Payout In,930.00,9300.00,"Monthly payout credited to excess"
2042-05-01,100000861,67,OA,Contribution,71.87,548052.50,"Monthly allocation"
2042-05-01,100000862,67,MA,Contribution,753.38,333410.72,"Monthly allocation"
2042-05-01,100000863,67,RA,Contribution,358.75,114504.58,"Monthly allocation"
2042-05-01,100000864,67,RA,Payout,930.00,113574.58,"Monthly payout from RA"
2042-05-01,100000865,67,Excess,Payout In,930.00,10230.00,"Monthly payout credited to excess"
2042-06-01,100000866,67,OA,Contribution,71.87,548124.37,"Monthly allocation"
2042-06-01,100000867,67,MA,Contribution,753.38,334164.10,"Monthly allocation"
2042-06-01,100000868,67,RA,Contribution,358.75,113933.33,"Monthly allocation"
2042-06-01,100000869,67,RA,Payout,930.00,113003.33,"Monthly payout from RA"
2042-06-01,100000870,67,Excess,Payout In,930.00,11160.00,"Monthly payout credited to excess"
2042-07-01,100000871,68,OA,Contribution,71.87,548196.24,"Monthly allocation"
2042-07-01,100000872,68,MA,Contribution,753.38,334917.48,"Monthly allocation"
2042-07-01,100000873,68,RA,Contribution,358.75,113362.09,"Monthly allocation"
2042-07-01,100000874,68,RA,Payout,930.00,112432.09,"Monthly payout from RA"
2042-07-01,100000875,68,Excess,Payout In,930.00,12090.00,"Monthly payout credited to excess"
2042-08-01,100000876,68,OA,Contribution,71.87,548268.11,"Monthly allocation"
2042-08-01,100000877,68,MA,Contribution,753.38,335670.86,"Monthly allocation"
2042-08-01,100000878,68,RA,Contribution,358.75,112790.84,"Monthly allocation"
2042-08-01,100000879,68,RA,Payout,930.00,111860.84,"Monthly payout from RA"
2042-08-01,100000880,68,Excess,Payout In,930.00,13020.00,"Monthly payout credited to excess"
2042-09-01,100000881,68,OA,Contribution,71.87,548339.98,"Monthly allocation"
2042-09-01,100000882,68,MA,Contribution,753.38,336424.23,"Monthly allocation"
2042-09-01,100000883,68,RA,Contribution,358.75,112219.59,"Monthly allocation"
2042-09-01,100000884,68,RA,Payout,930.00,111289.59,"Monthly payout from RA"
2042-09-01,100000885,68,Excess,Payout In,930.00,13950.00,"Monthly payout credited to excess"
2042-10-01,100000886,68,OA,Contribution,71.87,548411.85,"Monthly allocation"
2042-10-01,100000887,68,MA,Contribution,753.38,337177.61,"Monthly allocation"
2042-10-01,100000888,68,RA,Contribution,358.75,111648.34,"Monthly allocation"
2042-10-01,100000889,68,RA,Payout,930.00,110718.34,"Monthly payout from RA"
2042-10-01,100000890,68,Excess,Payout In,930.00,14880.00,"Monthly payout credited to excess"
2042-11-01,100000891,68,OA,Contribution,71.87,548483.72,"Monthly allocation"
2042-11-01,100000892,68,MA,Contribution,753.38,337930.99,"Monthly allocation"
2042-11-01,100000893,68,RA,Contribution,358.75,111077.09,"Monthly allocation"
2042-11-01,100000894,68,RA,Payout,930.00,110147.09,"Monthly payout from RA"
2042-11-01,100000895,68,Excess,Payout In,930.00,15810.00,"Monthly payout credited to excess"
2042-12-01,100000896,68,OA,Contribution,71.87,548555.58,"Monthly allocation"
2042-12-01,100000897,68,MA,Contribution,753.38,338684.37,"Monthly allocation"
2042-12-01,100000898,68,RA,Contribution,358.75,110505.85,"Monthly allocation"
2042-12-01,100000899,68,OA,Interest,21942.22,570497.81,"Annual base interest"
2042-12-01,100000900,68,MA,Interest,13547.37,352231.75,"Annual base interest"
2042-12-01,100000901,68,RA,Interest,4420.23,114926.08,"Annual base + extra interest"
2042-12-01,100000902,68,RA,Extra Interest,900.00,115826.08,"Annual base + extra interest"
2042-12-01,100000903,68,RA,Payout,930.00,114896.08,"Monthly payout from RA"
2042-12-01,100000904,68,Excess,Payout In,930.00,16740.00,"Monthly payout credited to excess"
2043-01-01,100000905,68,OA,Contribution,71.87,570569.68,"Monthly allocation"
2043-01-01,100000906,68,MA,Contribution,753.38,352985.13,"Monthly allocation"
2043-01-01,100000907,68,RA,Contribution,358.75,115254.83,"Monthly allocation"
2043-01-01,100000908,68,RA,Payout,930.00,114324.83,"Monthly payout from RA"
2043-01-01,100000909,68,Excess,Payout In,930.00,17670.00,"Monthly payout credited to excess"
2043-02-01,100000910,68,OA,Contribution,71.87,570641.54,"Monthly allocation"
2043-02-01,100000911,68,MA,Contribution,753.38,353738.51,"Monthly allocation"
2043-02-01,100000912,68,RA,Contribution,358.75,114683.58,"Monthly allocation"
2043-02-01,100000913,68,RA,Payout,930.00,113753.58,"Monthly payout from RA"
2043-02-01,100000914,68,Excess,Payout In,930.00,18600.00,"Monthly payout credited to excess"
2043-03-01,100000915,68,OA,Contribution,71.87,570713.41,"Monthly allocation"
2043-03-01,100000916,68,MA,Contribution,753.38,354491.88,"Monthly allocation"
2043-03-01,100000917,68,RA,Contribution,358.75,114112.34,"Monthly allocation"
2043-03-01,100000918,68,RA,Payout,930.00,113182.34,"Monthly payout from RA"
2043-03-01,100000919,68,Excess,Payout In,930.00,19530.00,"Monthly payout credited to excess"
2043-04-01,100000920,68,OA,Contribution,71.87,570785.28,"Monthly allocation"
2043-04-01,100000921,68,MA,Contribution,753.38,355245.26,"Monthly allocation"
2043-04-01,100000922,68,RA,Contribution,358.75,113541.09,"Monthly allocation"
2043-04-01,100000923,68,RA,Payout,930.00,112611.09,"Monthly payout from RA"
2043-04-01,100000924,68,Excess,Payout In,930.00,20460.00,"Monthly payout credited to excess"
2043-05-01,100000925,68,OA,Contribution,71.87,570857.15,"Monthly allocation"
